"","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%","Effective N"
"deviance",35.9,3.26,0.0627,0.113,32.2,33.6,35.1,37.4,44.6,967
"a",5.71,1.12,0.0215,0.0198,3.58,5.03,5.73,6.38,7.96,2810
"b",0.419,0.183,0.00351,0.00339,0.0494,0.313,0.42,0.533,0.757,2700
"sigma",1.59,0.519,0.00998,0.018,0.928,1.24,1.49,1.82,2.85,1030
